"mean","se","p","lower_0.99","upper_0.99","lower_0.95","upper_0.95","lower_0.9","upper_0.9","lower_0.99_q","lower_0.95_q","lower_0.9_q","upper_0.9_q","upper_0.95_q","upper_0.99_q","SiteName","group_name","group_num","study_num","Rhat","Rhat_upper_CI","parameter","grouping","Period","Latitude","Longitude","maxTempChangeAnnual","se_maxTempChangeAnnual","meanTempChangeAnnual","se_meanTempChangeAnnual","Study","StudySite","trajectory_ID","minYear","maxYear","maxTempChangeAnnualSample","se_maxTempChangeAnnualSample","meanTempChangeAnnualSample","se_meanTempChangeAnnualSample","maxWaveChangeAnnualSample","se_maxWaveChangeAnnualSample","meanWaveChangeAnnualSample","se_maxWaveChangeAnnualSample.1","bigWaveYears"
0.018529,0.0369423,0.691111,-0.0860461,0.108582,-0.0538912,0.0881465,-0.0437857,0.0757904,-0.0814577,-0.0526059,-0.0419398,0.0778504,0.0897323,0.115464,"Australia_WA_Wernberg-SH4-18-2:Australia_WA_Wernberg","Leeuwin",13,5,0.999503,0.999715,"site_slope","Ecoregion","1900-2015",-34.1616,115.011,0.0146093,0.00311666,0.0147157,0.00230694,"Australia_WA_Wernberg","Australia_WA_Wernberg-SH4-18-2",2,2006,2011,0.193689,0.142049,0.102468,0.0661775,0.0306286,0.214643,-0.00437682,0.040494,0
0.00638063,0.0371911,0.574667,-0.0916878,0.106894,-0.0666523,0.078875,-0.0546133,0.0678953,-0.0914599,-0.0660069,-0.0545293,0.0681328,0.0796084,0.106809,"Australia_WA_Wernberg-SH5-18-3:Australia_WA_Wernberg","Leeuwin",13,5,1.00097,1.00439,"site_slope","Ecoregion","1900-2015",-34.1527,115.005,0.0146093,0.00311666,0.0147157,0.00230694,"Australia_WA_Wernberg","Australia_WA_Wernberg-SH5-18-3",3,2006,2011,0.193689,0.142049,0.102468,0.0661775,0.0306286,0.214643,-0.00437682,0.040494,0
-0.0117197,0.0345094,0.360667,-0.0976388,0.0775352,-0.0767214,0.0567805,-0.0657229,0.0471895,-0.0983289,-0.0766755,-0.0669796,0.0461163,0.0569103,0.0766578,"Australia_WA_Wernberg-SJ1-18-4:Australia_WA_Wernberg","Houtman",11,5,1.00013,1.00149,"site_slope","Ecoregion","1900-2015",-30.1586,114.586,0.017969,0.00305573,0.0186869,0.00213503,"Australia_WA_Wernberg","Australia_WA_Wernberg-SJ1-18-4",4,2006,2011,0.280778,0.137164,0.111047,0.0711612,0.0558857,0.131333,0.00418061,0.0355947,0
0.0116116,0.0324874,0.631333,-0.0673393,0.097617,-0.0509342,0.0753901,-0.0408953,0.0652082,-0.0681935,-0.0505914,-0.0406005,0.0657554,0.0762071,0.0972529,"Australia_WA_Wernberg-SJ4-18-5:Australia_WA_Wernberg","Houtman",11,5,1.00071,1.00359,"site_slope","Ecoregion","1900-2015",-30.185,114.583,0.017969,0.00305573,0.0186869,0.00213503,"Australia_WA_Wernberg","Australia_WA_Wernberg-SJ4-18-5",5,2006,2011,0.280778,0.137164,0.111047,0.0711612,0.0558857,0.131333,0.00418061,0.0355947,0
-0.014103,0.0347083,0.336,-0.098816,0.0843213,-0.0782525,0.0571567,-0.06801,0.0446389,-0.102287,-0.0805823,-0.0688393,0.044353,0.0558469,0.081568,"Australia_WA_Wernberg-SJ5-18-6:Australia_WA_Wernberg","Houtman",11,5,1.00194,1.00369,"site_slope","Ecoregion","1900-2015",-30.183,114.593,0.017969,0.00305573,0.0186869,0.00213503,"Australia_WA_Wernberg","Australia_WA_Wernberg-SJ5-18-6",6,2006,2011,0.280778,0.137164,0.111047,0.0711612,0.0558857,0.131333,0.00418061,0.0355947,0
-0.0537224,0.0195184,0.00511111,-0.105909,0.00136953,-0.0901042,-0.0141581,-0.086344,-0.0229069,-0.108822,-0.0919506,-0.0852443,-0.0215263,-0.0149536,-0.000436766,"autralia_connell_canopyLoss-Horeshoe-27-1:autralia_connell_canopyLoss","South Australian Gulfs",22,6,1.00429,1.0162,"site_slope","Ecoregion","1900-2015",-35.1333,138.466,0.00373991,0.00234761,0.00520079,0.00112675,"autralia_connell_canopyLoss","autralia_connell_canopyLoss-Horeshoe-27-1",1,1969,2008,-0.00162381,0.00483898,0.00192523,0.0021388,NA,NA,NA,NA,NA
-0.044703,0.0191482,0.00933333,-0.10053,0.00791248,-0.0831227,-0.00882697,-0.07606,-0.0148189,-0.100877,-0.0832729,-0.0759985,-0.0146441,-0.00899909,0.0075683,"autralia_connell_canopyLoss-Noarlunga-27-2:autralia_connell_canopyLoss","South Australian Gulfs",22,6,1.00043,1.00098,"site_slope","Ecoregion","1900-2015",-35.1496,138.464,0.00373991,0.00234761,0.00520079,0.00112675,"autralia_connell_canopyLoss","autralia_connell_canopyLoss-Noarlunga-27-2",2,1968,2008,-0.00372944,0.00476062,0.00232107,0.00204721,NA,NA,NA,NA,NA
0.0010388,0.060782,0.504,-0.154535,0.153368,-0.114761,0.118792,-0.0917002,0.108022,-0.154301,-0.117871,-0.0983887,0.101991,0.117202,0.153359,"Birchy_Head-Birchy Head-9-77:Birchy_Head","Scotian Shelf",21,7,1.0026,1.01023,"site_slope","Ecoregion","1900-2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.152944,0.0917277,0.0431111,-0.412238,0.0657458,-0.327962,0.0272002,-0.3036,-0.00358954,-0.405109,-0.338848,-0.307808,-0.0070092,0.0203959,0.0781652,"Central_Chile_Fondecyt-CaletaHornos-7-2:Central_Chile_Fondecyt","Central Chile",7,8,0.999547,0.999819,"site_slope","Ecoregion","1900-2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.151766,0.0922087,0.0417778,-0.39973,0.0811836,-0.34191,0.019002,-0.29439,0.000972953,-0.401431,-0.341906,-0.305287,-0.00615396,0.0187409,0.0806715,"Central_Chile_Fondecyt-ElFrances-7-3:Central_Chile_Fondecyt","Central Chile",7,8,0.999691,1.00008,"site_slope","Ecoregion","1900-2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.153158,0.0896931,0.0362222,-0.380373,0.0838292,-0.327643,0.0221742,-0.293124,-0.00132966,-0.387538,-0.336399,-0.305048,-0.0109258,0.0141621,0.0767842,"Central_Chile_Fondecyt-LosMolles-7-4:Central_Chile_Fondecyt","Central Chile",7,8,0.999807,1.00002,"site_slope","Ecoregion","1900-2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.154918,0.0880563,0.0375556,-0.382371,0.0632178,-0.330265,0.0163509,-0.300312,-0.0119578,-0.381108,-0.332437,-0.303464,-0.0135483,0.0155714,0.0672422,"Central_Chile_Fondecyt-MineraldeTalca-7-5:Central_Chile_Fondecyt","Central Chile",7,8,1.00056,1.00367,"site_slope","Ecoregion","1900-2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.151752,0.0874882,0.036,-0.382081,0.066006,-0.328636,0.0129373,-0.302933,-0.0147285,-0.381851,-0.328527,-0.302029,-0.0131711,0.0129211,0.0659074,"Central_Chile_Fondecyt-Zapallar-7-7:Central_Chile_Fondecyt","Central Chile",7,8,1.00057,1.00128,"site_slope","Ecoregion","1900-2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.0409848,0.0172007,0.00733333,-0.0855205,0.00100229,-0.0754248,-0.0083248,-0.0689447,-0.0121334,-0.0844476,-0.0749541,-0.0696421,-0.0124924,-0.00725073,0.00538282,"Channel_Islands_National_Park-Anacapa Island-Admiral's Reef-5-1:Channel_Islands_National_Park","Southern California Bight",23,9,1.00091,1.00288,"site_slope","Ecoregion","1900-2015",34.0078,-119.434,0.00863048,0.00554335,0.00743939,0.0041063,"Channel_Islands_National_Park","Channel_Islands_National_Park-Anacapa Island-Admiral's Reef-5-1",1,1986,2011,-0.0151354,0.0200283,-0.0160696,0.0155795,NA,NA,NA,NA,NA
0.124025,0.0176408,1,0.0776697,0.167104,0.0898626,0.159171,0.096814,0.154145,0.0780085,0.0870259,0.0941607,0.15215,0.157414,0.167631,"Channel_Islands_National_Park-Anacapa Island-Cathedral Cove-5-2:Channel_Islands_National_Park","Southern California Bight",23,9,1.00252,1.00677,"site_slope","Ecoregion","1900-2015",34.0159,-119.372,0.00863048,0.00554335,0.00743939,0.0041063,"Channel_Islands_National_Park","Channel_Islands_National_Park-Anacapa Island-Cathedral Cove-5-2",2,1986,2011,-0.0151354,0.0200283,-0.0160696,0.0155795,NA,NA,NA,NA,NA
0.0977672,0.0172864,1,0.0544539,0.146302,0.0651209,0.132166,0.0689085,0.125364,0.0527229,0.0641563,0.0698978,0.126505,0.131347,0.144339,"Channel_Islands_National_Park-Anacapa Island-Landing Cove-5-3:Channel_Islands_National_Park","Southern California Bight",23,9,1.00043,1.00206,"site_slope","Ecoregion","1900-2015",34.017,-119.361,0.00863048,0.00554335,0.00743939,0.0041063,"Channel_Islands_National_Park","Channel_Islands_National_Park-Anacapa Island-Landing Cove-5-3",3,1986,2011,-0.0151354,0.0200283,-0.0160696,0.0155795,NA,NA,NA,NA,NA
0.0517377,0.0170937,0.999333,0.00852582,0.0948618,0.0176925,0.0840234,0.0248875,0.0807198,0.0091262,0.0183938,0.0237891,0.0799251,0.0849834,0.0964707,"Channel_Islands_National_Park-San Miguel Island-Hare Rock-5-4:Channel_Islands_National_Park","Northern California",18,9,1.0013,1.00341,"site_slope","Ecoregion","1900-2015",34.0644,-120.357,0.000394585,0.00478406,0.00213773,0.00378492,"Channel_Islands_National_Park","Channel_Islands_National_Park-San Miguel Island-Hare Rock-5-4",4,1986,2011,-0.0261711,0.0166449,-0.0280488,0.0138805,NA,NA,NA,NA,NA
0.0245651,0.0171268,0.924667,-0.0240492,0.0677635,-0.00980847,0.0576326,-0.00488855,0.0513633,-0.0218987,-0.00888056,-0.00388094,0.0525943,0.0586859,0.0703443,"Channel_Islands_National_Park-San Miguel Island-Wyckoff Ledge-5-5:Channel_Islands_National_Park","Northern California",18,9,1.00158,1.00728,"site_slope","Ecoregion","1900-2015",34.0224,-120.387,0.000394585,0.00478406,0.00213773,0.00378492,"Channel_Islands_National_Park","Channel_Islands_National_Park-San Miguel Island-Wyckoff Ledge-5-5",5,1986,2011,-0.0261711,0.0166449,-0.0280488,0.0138805,NA,NA,NA,NA,NA
0.00411804,0.0173665,0.582889,-0.0399971,0.0512454,-0.0311275,0.0366439,-0.0239276,0.0315703,-0.040842,-0.0300058,-0.023376,0.0327449,0.0384396,0.0503368,"Channel_Islands_National_Park-Santa Barbara Island-Arch Point-5-6:Channel_Islands_National_Park","Southern California Bight",23,9,1.00229,1.00922,"site_slope","Ecoregion","1900-2015",33.4875,-119.028,0.00914797,0.00531847,0.00805686,0.00401089,"Channel_Islands_National_Park","Channel_Islands_National_Park-Santa Barbara Island-Arch Point-5-6",6,1986,2011,-0.0145087,0.0191521,-0.0155104,0.014958,NA,NA,NA,NA,NA
-0.0148716,0.0173367,0.192444,-0.0593365,0.0312846,-0.0481881,0.0205524,-0.0434839,0.0126186,-0.0618521,-0.0503508,-0.0432435,0.0130276,0.0193894,0.0303891,"Channel_Islands_National_Park-Santa Barbara Island-Cat Canyon-5-7:Channel_Islands_National_Park","Southern California Bight",23,9,1.00253,1.00843,"site_slope","Ecoregion","1900-2015",33.4644,-119.039,0.00914797,0.00531847,0.00805686,0.00401089,"Channel_Islands_National_Park","Channel_Islands_National_Park-Santa Barbara Island-Cat Canyon-5-7",7,1986,2011,-0.0145087,0.0191521,-0.0155104,0.014958,NA,NA,NA,NA,NA
-5.35512e-05,0.0174101,0.491556,-0.0485579,0.0435344,-0.0331445,0.0344443,-0.0271273,0.02924,-0.0468802,-0.0341598,-0.02852,0.0283425,0.0340278,0.0465577,"Channel_Islands_National_Park-Santa Barbara Island-SE Sea Lion Rookery-5-8:Channel_Islands_National_Park","Southern California Bight",23,9,1.00069,1.00165,"site_slope","Ecoregion","1900-2015",33.4661,-119.028,0.00914797,0.00531847,0.00805686,0.00401089,"Channel_Islands_National_Park","Channel_Islands_National_Park-Santa Barbara Island-SE Sea Lion Rookery-5-8",8,1986,2011,-0.0145087,0.0191521,-0.0155104,0.014958,NA,NA,NA,NA,NA
0.0622472,0.017384,1,0.0185608,0.108459,0.0287017,0.0957207,0.033197,0.0897515,0.0174214,0.0290087,0.034161,0.0910785,0.0960189,0.1073,"Channel_Islands_National_Park-Santa Cruz Island-Fry's Harbor-5-9:Channel_Islands_National_Park","Southern California Bight",23,9,1.00011,1.00022,"site_slope","Ecoregion","1900-2015",34.0564,-119.755,0.00863048,0.00554335,0.00743939,0.0041063,"Channel_Islands_National_Park","Channel_Islands_National_Park-Santa Cruz Island-Fry's Harbor-5-9",9,1986,2011,-0.0151354,0.0200283,-0.0160696,0.0155795,NA,NA,NA,NA,NA
0.0331826,0.0167978,0.974222,-0.0131244,0.0753314,0.000857185,0.0666676,0.00437935,0.0596564,-0.012375,-0.000131699,0.00513946,0.0608232,0.0660595,0.0761699,"Channel_Islands_National_Park-Santa Cruz Island-Gull Island South-5-10:Channel_Islands_National_Park","Southern California Bight",23,9,1.00243,1.0078,"site_slope","Ecoregion","1900-2015",33.9497,-119.828,0.00914797,0.00531847,0.00805686,0.00401089,"Channel_Islands_National_Park","Channel_Islands_National_Park-Santa Cruz Island-Gull Island South-5-10",10,1986,2011,-0.0145087,0.0191521,-0.0155104,0.014958,NA,NA,NA,NA,NA
0.0141495,0.0174835,0.788667,-0.0319463,0.0593948,-0.0187817,0.0486506,-0.0143445,0.0431179,-0.0321422,-0.0198702,-0.0146699,0.0430418,0.0476143,0.0592348,"Channel_Islands_National_Park-Santa Cruz Island-Pelican Bay-5-11:Channel_Islands_National_Park","Southern California Bight",23,9,0.99991,1.00105,"site_slope","Ecoregion","1900-2015",34.0349,-119.703,0.00863048,0.00554335,0.00743939,0.0041063,"Channel_Islands_National_Park","Channel_Islands_National_Park-Santa Cruz Island-Pelican Bay-5-11",11,1986,2011,-0.0151354,0.0200283,-0.0160696,0.0155795,NA,NA,NA,NA,NA
0.00738864,0.0176859,0.663778,-0.0369144,0.0535193,-0.0263275,0.0413707,-0.0204456,0.0380575,-0.0380792,-0.0261134,-0.0224898,0.0366617,0.0417753,0.0528881,"Channel_Islands_National_Park-Santa Cruz Island-Scorpion Anchorage-5-12:Channel_Islands_National_Park","Southern California Bight",23,9,1.00139,1.00544,"site_slope","Ecoregion","1900-2015",34.048,-119.551,0.00863048,0.00554335,0.00743939,0.0041063,"Channel_Islands_National_Park","Channel_Islands_National_Park-Santa Cruz Island-Scorpion Anchorage-5-12",12,1986,2011,-0.0151354,0.0200283,-0.0160696,0.0155795,NA,NA,NA,NA,NA
-0.028502,0.0176439,0.0515556,-0.0742689,0.0158875,-0.0621877,0.00631832,-0.056397,0.000771994,-0.0736535,-0.0632582,-0.0577909,0.000223226,0.00571825,0.0168804,"Channel_Islands_National_Park-Santa Cruz Island-Yellow Banks-5-13:Channel_Islands_National_Park","Southern California Bight",23,9,1.00052,1.00273,"site_slope","Ecoregion","1900-2015",33.9898,-119.563,0.00914797,0.00531847,0.00805686,0.00401089,"Channel_Islands_National_Park","Channel_Islands_National_Park-Santa Cruz Island-Yellow Banks-5-13",13,1986,2011,-0.0145087,0.0191521,-0.0155104,0.014958,NA,NA,NA,NA,NA
0.0402796,0.0170579,0.990667,-0.00441586,0.0835994,0.00661662,0.072379,0.011978,0.0678717,-0.00259258,0.00758576,0.0121162,0.0680599,0.0734977,0.0853223,"Channel_Islands_National_Park-Santa Rosa Island-Johnson's Lee North-5-14:Channel_Islands_National_Park","Northern California",18,9,1.00166,1.00353,"site_slope","Ecoregion","1900-2015",33.9015,-120.103,0.00191486,0.00455831,0.00319575,0.00369653,"Channel_Islands_National_Park","Channel_Islands_National_Park-Santa Rosa Island-Johnson's Lee North-5-14",14,1986,2011,-0.0247317,0.0154627,-0.0279788,0.013244,NA,NA,NA,NA,NA
0.0248085,0.0176504,0.915556,-0.0196095,0.0684812,-0.010261,0.0583763,-0.00667723,0.0519005,-0.0196551,-0.0102213,-0.0052129,0.0537643,0.0584422,0.0682618,"Channel_Islands_National_Park-Santa Rosa Island-Johnson's Lee South-5-15:Channel_Islands_National_Park","Northern California",18,9,1.00041,1.00195,"site_slope","Ecoregion","1900-2015",33.8975,-120.101,0.00191486,0.00455831,0.00319575,0.00369653,"Channel_Islands_National_Park","Channel_Islands_National_Park-Santa Rosa Island-Johnson's Lee South-5-15",15,1986,2011,-0.0247317,0.0154627,-0.0279788,0.013244,NA,NA,NA,NA,NA
-0.0506328,0.017196,0.000888889,-0.0967545,-0.0073653,-0.0854752,-0.0173994,-0.0797276,-0.0227924,-0.0967525,-0.085465,-0.0795414,-0.0225334,-0.017412,-0.00742742,"Channel_Islands_National_Park-Santa Rosa Island-Rodes Reef-5-16:Channel_Islands_National_Park","Northern California",18,9,0.999959,0.99998,"site_slope","Ecoregion","1900-2015",34.0326,-120.107,0.000394585,0.00478406,0.00213773,0.00378492,"Channel_Islands_National_Park","Channel_Islands_National_Park-Santa Rosa Island-Rodes Reef-5-16",16,1986,2011,-0.0261711,0.0166449,-0.0280488,0.0138805,NA,NA,NA,NA,NA
0.0235346,0.0406551,0.715778,-0.0817903,0.121823,-0.0588413,0.0976864,-0.0410274,0.090883,-0.0815718,-0.0549681,-0.0427994,0.0898397,0.10234,0.12292,"Coyle_Cove-Coyle Cove-9-37:Coyle_Cove","Scotian Shelf",21,10,1.0033,1.01237,"site_slope","Ecoregion","1900-2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.02719,0.0604845,0.329556,-0.187444,0.127486,-0.145755,0.085935,-0.129558,0.066591,-0.192822,-0.145975,-0.127761,0.0691073,0.0857796,0.124236,"Cranberry-Cranberry Cove-9-29:Cranberry","Scotian Shelf",21,11,1.00158,1.00482,"site_slope","Ecoregion","1900-2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.00859075,0.0116087,0.220444,-0.0406953,0.0207331,-0.0325532,0.0137806,-0.0265185,0.0117324,-0.0404512,-0.0320441,-0.0275866,0.0107441,0.0145404,0.0211494,"Davoult_etal_2011-Porspoder-13-14:Davoult_etal_2011","Celtic Seas",6,12,1.0016,1.00736,"site_slope","Ecoregion","1900-2015",48.8247,-4.7006,0.0118061,0.00390336,0.00945908,0.00235225,"Davoult_etal_2011","Davoult_etal_2011-Porspoder-13-14",14,1989,2004,0.0142992,0.0274197,0.0208593,0.0177947,NA,NA,NA,NA,NA
-0.0168044,0.0123258,0.0902222,-0.0511205,0.0143659,-0.0416194,0.00680463,-0.0379097,0.00264624,-0.0511063,-0.0421551,-0.0377701,0.00296415,0.0062908,0.014306,"Davoult_etal_2011-Portsall-13-15:Davoult_etal_2011","Celtic Seas",6,12,1.00108,1.00322,"site_slope","Ecoregion","1900-2015",48.8247,-4.7006,0.0118061,0.00390336,0.00945908,0.00235225,"Davoult_etal_2011","Davoult_etal_2011-Portsall-13-15",15,1989,2004,0.0142992,0.0274197,0.0208593,0.0177947,NA,NA,NA,NA,NA
0.0200935,0.0394889,0.695333,-0.0802709,0.120505,-0.0608036,0.0936117,-0.0476497,0.0809716,-0.0771657,-0.0573334,-0.0448817,0.0851942,0.0981285,0.123749,"Dayton_etal_1992-Central-13-16:Dayton_etal_1992","Southern California Bight",23,13,1.00463,1.01813,"site_slope","Ecoregion","1900-2015",32.7032,-117.267,0.0127073,0.00525302,0.0110798,0.00392873,"Dayton_etal_1992","Dayton_etal_1992-Central-13-16",16,1984,1990,-0.114599,0.106959,-0.0035771,0.0631048,NA,NA,NA,NA,NA
-0.00712649,0.0387545,0.428667,-0.106609,0.0862429,-0.080585,0.0695361,-0.0736032,0.0518248,-0.102908,-0.0814164,-0.0707511,0.0560451,0.0692768,0.0928069,"Dayton_etal_1992-North-13-17:Dayton_etal_1992","Southern California Bight",23,13,1.00346,1.01411,"site_slope","Ecoregion","1900-2015",32.7219,-117.267,0.0127073,0.00525302,0.0110798,0.00392873,"Dayton_etal_1992","Dayton_etal_1992-North-13-17",17,1984,1990,-0.114599,0.106959,-0.0035771,0.0631048,NA,NA,NA,NA,NA
-0.0959444,0.0354201,0.00422222,-0.185821,-0.00688317,-0.166465,-0.0280651,-0.153266,-0.0351934,-0.1844,-0.166191,-0.156065,-0.0375371,-0.0273959,-0.00397221,"Dayton_etal_1999_Laminaria-Point Loma-13-18:Dayton_etal_1999_Laminaria","Southern California Bight",23,14,1.00215,1.0092,"site_slope","Ecoregion","1900-2015",32.6923,-117.26,0.0127073,0.00525302,0.0110798,0.00392873,"Dayton_etal_1999_Laminaria","Dayton_etal_1999_Laminaria-Point Loma-13-18",18,1983,1996,0.0104876,0.0513908,0.0434363,0.0355851,NA,NA,NA,NA,NA
-0.111633,0.0279679,0,-0.179232,-0.0353934,-0.166669,-0.0583289,-0.160001,-0.068529,-0.176897,-0.162828,-0.155684,-0.0638738,-0.0537535,-0.0323441,"Dayton_etal_1999_Pterygophora-Point Loma-13-19:Dayton_etal_1999_Pterygophora","Southern California Bight",23,15,1.00091,1.00268,"site_slope","Ecoregion","1900-2015",32.6923,-117.26,0.0127073,0.00525302,0.0110798,0.00392873,"Dayton_etal_1999_Pterygophora","Dayton_etal_1999_Pterygophora-Point Loma-13-19",19,1983,1996,0.0104876,0.0513908,0.0434363,0.0355851,NA,NA,NA,NA,NA
